sector_code,cell_code,cell_name
RW.02.01.S01,RW.02.01.S01.C01,Biryogo
RW.02.01.S01,RW.02.01.S01.C02,Kabuye
RW.02.01.S01,RW.02.01.S01.C03,Kagomasi
RW.02.01.S01,RW.02.01.S01.C04,Mwendo
RW.02.01.S01,RW.02.01.S01.C05,Ramiro
RW.02.01.S02,RW.02.01.S02.C01,Juru
RW.02.01.S02,RW.02.01.S02.C02,Kabukuba
RW.02.01.S02,RW.02.01.S02.C03,Mugorore
RW.02.01.S02,RW.02.01.S02.C04,Musovu
RW.02.01.S02,RW.02.01.S02.C05,Rwinume
RW.02.01.S03,RW.02.01.S03.C01,Biharagu
RW.02.01.S03,RW.02.01.S03.C02,Burenge
RW.02.01.S03,RW.02.01.S03.C03,Kampeka
RW.02.01.S03,RW.02.01.S03.C04,Nyakayaga
RW.02.01.S03,RW.02.01.S03.C05,Tunda
RW.02.01.S04,RW.02.01.S04.C01,Bushenyi
RW.02.01.S04,RW.02.01.S04.C02,Gakomeye
RW.02.01.S04,RW.02.01.S04.C03,Nyamigina
RW.02.01.S04,RW.02.01.S04.C04,Rango
RW.02.01.S04,RW.02.01.S04.C05,Rugarama
RW.02.01.S05,RW.02.01.S05.C01,Gakamba
RW.02.01.S05,RW.02.01.S05.C02,Kagenge
RW.02.01.S05,RW.02.01.S05.C03,Kibenga
RW.02.01.S05,RW.02.01.S05.C04,Kibirizi
RW.02.01.S05,RW.02.01.S05.C05,Mbyo
RW.02.01.S06,RW.02.01.S06.C01,Gicaca
RW.02.01.S06,RW.02.01.S06.C02,Musenyi
RW.02.01.S06,RW.02.01.S06.C03,Nyagihunika
RW.02.01.S06,RW.02.01.S06.C04,Rulindo
RW.02.01.S07,RW.02.01.S07.C01,Bitaba
RW.02.01.S07,RW.02.01.S07.C02,Kagasa
RW.02.01.S07,RW.02.01.S07.C03,Rugunga
RW.02.01.S07,RW.02.01.S07.C04,Rurenge
RW.02.01.S08,RW.02.01.S08.C01,Gihembe
RW.02.01.S08,RW.02.01.S08.C02,Murama
RW.02.01.S08,RW.02.01.S08.C03,Ngeruka
RW.02.01.S08,RW.02.01.S08.C04,Nyakayenzi
RW.02.01.S08,RW.02.01.S08.C05,Rutonde
RW.02.01.S09,RW.02.01.S09.C01,Cyugaro
RW.02.01.S09,RW.02.01.S09.C02,Kanzenze
RW.02.01.S09,RW.02.01.S09.C03,Kibungo
RW.02.01.S10,RW.02.01.S10.C01,Kanazi
RW.02.01.S10,RW.02.01.S10.C02,Kayumba
RW.02.01.S10,RW.02.01.S10.C03,Maranyundo
RW.02.01.S10,RW.02.01.S10.C04,Murama
RW.02.01.S10,RW.02.01.S10.C05,NyamataYUmujyi
RW.02.01.S11,RW.02.01.S11.C01,Gihinga
RW.02.01.S11,RW.02.01.S11.C02,Kabuye
RW.02.01.S11,RW.02.01.S11.C03,Murambi
RW.02.01.S11,RW.02.01.S11.C04,Ngenda
RW.02.01.S11,RW.02.01.S11.C05,Rugando
RW.02.01.S12,RW.02.01.S12.C01,Kabeza
RW.02.01.S12,RW.02.01.S12.C02,Karera
RW.02.01.S12,RW.02.01.S12.C03,Kimaranzara
RW.02.01.S12,RW.02.01.S12.C04,Ntarama
RW.02.01.S12,RW.02.01.S12.C05,Nyabagendwa
RW.02.01.S13,RW.02.01.S13.C01,Bihari
RW.02.01.S13,RW.02.01.S13.C02,Gatanga
RW.02.01.S13,RW.02.01.S13.C03,Gikundamvura
RW.02.01.S13,RW.02.01.S13.C04,Kindama
RW.02.01.S13,RW.02.01.S13.C05,Ruhuha
RW.02.01.S14,RW.02.01.S14.C01,Batima
RW.02.01.S14,RW.02.01.S14.C02,Kintambwe
RW.02.01.S14,RW.02.01.S14.C03,Mazane
RW.02.01.S14,RW.02.01.S14.C04,Nemba
RW.02.01.S14,RW.02.01.S14.C05,Nkanga
RW.02.01.S14,RW.02.01.S14.C06,Sharita
RW.02.01.S15,RW.02.01.S15.C01,Kabagugu
RW.02.01.S15,RW.02.01.S15.C02,Kamabuye
RW.02.01.S15,RW.02.01.S15.C03,Nziranziza
RW.02.01.S15,RW.02.01.S15.C04,Rebero
RW.02.01.S15,RW.02.01.S15.C05,Rutare
RW.03.01.S01,RW.03.01.S01.C01,Bungwe
RW.03.01.S01,RW.03.01.S01.C02,Bushenya
RW.03.01.S01,RW.03.01.S01.C03,Mudugari
RW.03.01.S01,RW.03.01.S01.C04,Tumba
RW.03.01.S02,RW.03.01.S02.C01,Gatsibo
RW.03.01.S02,RW.03.01.S02.C02,Mubuga
RW.03.01.S02,RW.03.01.S02.C03,Muhotora
RW.03.01.S02,RW.03.01.S02.C04,Nyamicucu
RW.03.01.S02,RW.03.01.S02.C05,Rusumo
RW.03.01.S03,RW.03.01.S03.C01,Gasiza
RW.03.01.S03,RW.03.01.S03.C02,Gisovu
RW.03.01.S03,RW.03.01.S03.C03,Kabyiniro
RW.03.01.S03,RW.03.01.S03.C04,Kagitega
RW.03.01.S03,RW.03.01.S03.C05,Kamanyana
RW.03.01.S03,RW.03.01.S03.C06,Nyagahinga
RW.03.01.S04,RW.03.01.S04.C01,Butare
RW.03.01.S04,RW.03.01.S04.C02,Ndongozi
RW.03.01.S04,RW.03.01.S04.C03,Ruyange
RW.03.01.S05,RW.03.01.S05.C01,Buramba
RW.03.01.S05,RW.03.01.S05.C02,Gisizi
RW.03.01.S05,RW.03.01.S05.C03,Kidakama
RW.03.01.S05,RW.03.01.S05.C04,Nyangwe
RW.03.01.S05,RW.03.01.S05.C05,Rwasa
RW.03.01.S06,RW.03.01.S06.C01,Gabiro
RW.03.01.S06,RW.03.01.S06.C02,Musenda
RW.03.01.S06,RW.03.01.S06.C03,Rwambogo
RW.03.01.S06,RW.03.01.S06.C04,Rwasa
RW.03.01.S07,RW.03.01.S07.C01,Mariba
RW.03.01.S07,RW.03.01.S07.C02,Musasa
RW.03.01.S07,RW.03.01.S07.C03,Runoga
RW.03.01.S08,RW.03.01.S08.C01,Kabaya
RW.03.01.S08,RW.03.01.S08.C02,Kayenzi
RW.03.01.S08,RW.03.01.S08.C03,Kiringa
RW.03.01.S08,RW.03.01.S08.C04,Nyamabuye
RW.03.01.S09,RW.03.01.S09.C01,Gafuka
RW.03.01.S09,RW.03.01.S09.C02,Nkenke
RW.03.01.S09,RW.03.01.S09.C03,Nkumba
RW.03.01.S09,RW.03.01.S09.C04,Ntaruka
RW.03.01.S10,RW.03.01.S10.C01,Bugamba
RW.03.01.S10,RW.03.01.S10.C02,Kaganda
RW.03.01.S10,RW.03.01.S10.C03,Musasa
RW.03.01.S10,RW.03.01.S10.C04,Rutovu
RW.03.01.S11,RW.03.01.S11.C01,Bukwashuri
RW.03.01.S11,RW.03.01.S11.C02,Gashanje
RW.03.01.S11,RW.03.01.S11.C03,Murwa
RW.03.01.S11,RW.03.01.S11.C04,Nyirataba
RW.03.01.S12,RW.03.01.S12.C01,Kivumu
RW.03.01.S12,RW.03.01.S12.C02,Nyamugari
RW.03.01.S12,RW.03.01.S12.C03,Rubona
RW.03.01.S12,RW.03.01.S12.C04,Rushara
RW.03.01.S13,RW.03.01.S13.C01,Cyahi
RW.03.01.S13,RW.03.01.S13.C02,Gafumba
RW.03.01.S13,RW.03.01.S13.C03,Karangara
RW.03.01.S13,RW.03.01.S13.C04,Rurembo
RW.03.01.S14,RW.03.01.S14.C01,Kilibata
RW.03.01.S14,RW.03.01.S14.C02,Mucaca
RW.03.01.S14,RW.03.01.S14.C03,Nyanamo
RW.03.01.S14,RW.03.01.S14.C04,Rukandabyuma
RW.03.01.S15,RW.03.01.S15.C01,Gaseke
RW.03.01.S15,RW.03.01.S15.C02,Gatare
RW.03.01.S15,RW.03.01.S15.C03,Gitovu
RW.03.01.S15,RW.03.01.S15.C04,Rusekera
RW.03.01.S16,RW.03.01.S16.C01,Kabona
RW.03.01.S16,RW.03.01.S16.C02,Ndago
RW.03.01.S16,RW.03.01.S16.C03,Ruhanga
RW.03.01.S17,RW.03.01.S17.C01,Gacundura
RW.03.01.S17,RW.03.01.S17.C02,Gashoro
RW.03.01.S17,RW.03.01.S17.C03,Ruconsho
RW.03.01.S17,RW.03.01.S17.C04,Rugari
RW.03.02.S01,RW.03.02.S01.C01,Birambo
RW.03.02.S01,RW.03.02.S01.C02,Butereri
RW.03.02.S01,RW.03.02.S01.C03,Byibuhiro
RW.03.02.S01,RW.03.02.S01.C04,Kamina
RW.03.02.S01,RW.03.02.S01.C05,Kirabo
RW.03.02.S01,RW.03.02.S01.C06,Mwumba
RW.03.02.S01,RW.03.02.S01.C07,Ruhanga
RW.03.02.S02,RW.03.02.S02.C01,Kiruku
RW.03.02.S02,RW.03.02.S02.C02,Mbirima
RW.03.02.S02,RW.03.02.S02.C03,Nyange
RW.03.02.S02,RW.03.02.S02.C04,Nyanza
RW.03.02.S03,RW.03.02.S03.C01,Muhaza
RW.03.02.S03,RW.03.02.S03.C02,Muhororo
RW.03.02.S03,RW.03.02.S03.C03,Muramba
RW.03.02.S03,RW.03.02.S03.C04,Mutanda
RW.03.02.S03,RW.03.02.S03.C05,Rukore
RW.03.02.S04,RW.03.02.S04.C01,Buheta
RW.03.02.S04,RW.03.02.S04.C02,Kagoma
RW.03.02.S04,RW.03.02.S04.C03,Nganzo
RW.03.02.S04,RW.03.02.S04.C04,Rusagara
RW.03.02.S05,RW.03.02.S05.C01,Nyacyina
RW.03.02.S05,RW.03.02.S05.C02,Rukura
RW.03.02.S05,RW.03.02.S05.C03,Rutabo
RW.03.02.S05,RW.03.02.S05.C04,Rutenderi
RW.03.02.S05,RW.03.02.S05.C05,Taba
RW.03.02.S06,RW.03.02.S06.C01,Gakindo
RW.03.02.S06,RW.03.02.S06.C02,Gashyamba
RW.03.02.S06,RW.03.02.S06.C03,Gatwa
RW.03.02.S06,RW.03.02.S06.C04,Karukungu
RW.03.02.S07,RW.03.02.S07.C01,Kamubuga
RW.03.02.S07,RW.03.02.S07.C02,Kidomo
RW.03.02.S07,RW.03.02.S07.C03,Mbatabata
RW.03.02.S07,RW.03.02.S07.C04,Rukore
RW.03.02.S08,RW.03.02.S08.C01,Kanyanza
RW.03.02.S08,RW.03.02.S08.C02,Karambo
