district_code,sector_code,sector_name
RW.02.01,RW.02.01.S01,Gashora
RW.02.01,RW.02.01.S02,Juru
RW.02.01,RW.02.01.S03,Kamabuye
RW.02.01,RW.02.01.S04,Mareba
RW.02.01,RW.02.01.S05,Mayange
RW.02.01,RW.02.01.S06,Musenyi
RW.02.01,RW.02.01.S07,Mwogo
RW.02.01,RW.02.01.S08,Ngeruka
RW.02.01,RW.02.01.S09,Ntarama
RW.02.01,RW.02.01.S10,Nyamata
RW.02.01,RW.02.01.S11,Nyarugenge
RW.02.01,RW.02.01.S12,Ririma
RW.02.01,RW.02.01.S13,Ruhuha
RW.02.01,RW.02.01.S14,Rweru
RW.02.01,RW.02.01.S15,Shyara
RW.03.01,RW.03.01.S01,Bungwe
RW.03.01,RW.03.01.S02,Butaro
RW.03.01,RW.03.01.S03,Cyanika
RW.03.01,RW.03.01.S04,Cyeru
RW.03.01,RW.03.01.S05,Gahunga
RW.03.01,RW.03.01.S06,Gatebe
RW.03.01,RW.03.01.S07,Gitovu
RW.03.01,RW.03.01.S08,Kagogo
RW.03.01,RW.03.01.S09,Kinoni
RW.03.01,RW.03.01.S10,Kinyababa
RW.03.01,RW.03.01.S11,Kivuye
RW.03.01,RW.03.01.S12,Nemba
RW.03.01,RW.03.01.S13,Rugarama
RW.03.01,RW.03.01.S14,Rugengabari
RW.03.01,RW.03.01.S15,Ruhunde
RW.03.01,RW.03.01.S16,Rusarabuye
RW.03.01,RW.03.01.S17,Rwerere
RW.03.02,RW.03.02.S01,Busengo
RW.03.02,RW.03.02.S02,Coko
RW.03.02,RW.03.02.S03,Cyabingo
RW.03.02,RW.03.02.S04,Gakenke
RW.03.02,RW.03.02.S05,Gashenyi
RW.03.02,RW.03.02.S06,Janja
RW.03.02,RW.03.02.S07,Kamubuga
RW.03.02,RW.03.02.S08,Karambo
RW.03.02,RW.03.02.S09,Kivuruga
RW.03.02,RW.03.02.S10,Mataba
RW.03.02,RW.03.02.S11,Minazi
RW.03.02,RW.03.02.S12,Mugunga
RW.03.02,RW.03.02.S13,Muhondo
RW.03.02,RW.03.02.S14,Muyongwe
RW.03.02,RW.03.02.S15,Muzo
RW.03.02,RW.03.02.S16,Nemba
RW.03.02,RW.03.02.S17,Ruli
RW.03.02,RW.03.02.S18,Rusasa
RW.03.02,RW.03.02.S19,Rushashi
RW.01.01,RW.01.01.S01,Bumbogo
RW.01.01,RW.01.01.S02,Gatsata
RW.01.01,RW.01.01.S03,Gikomero
RW.01.01,RW.01.01.S04,Gisozi
RW.01.01,RW.01.01.S05,Jabana
RW.01.01,RW.01.01.S06,Jali
RW.01.01,RW.01.01.S07,Kacyiru
RW.01.01,RW.01.01.S08,Kimihurura
RW.01.01,RW.01.01.S09,Kimironko
RW.01.01,RW.01.01.S10,Kinyinya
RW.01.01,RW.01.01.S11,Ndera
RW.01.01,RW.01.01.S12,Nduba
RW.01.01,RW.01.01.S13,Remera
RW.01.01,RW.01.01.S14,Rusororo
RW.01.01,RW.01.01.S15,Rutunga
RW.02.02,RW.02.02.S01,Gasange
RW.02.02,RW.02.02.S02,Gatsibo
