cell_code,village_code,village_name
RW.02.01.S01.C01,RW.02.01.S01.C01.V001,Bidudu
RW.02.01.S01.C01,RW.02.01.S01.C01.V002,Biryogo
RW.02.01.S01.C01,RW.02.01.S01.C01.V003,Buhoro
RW.02.01.S01.C01,RW.02.01.S01.C01.V004,Gihanama
RW.02.01.S01.C01,RW.02.01.S01.C01.V005,Kagarama
RW.02.01.S01.C01,RW.02.01.S01.C01.V006,Kanyonyomba
RW.02.01.S01.C01,RW.02.01.S01.C01.V007,Karutete
RW.02.01.S01.C01,RW.02.01.S01.C01.V008,Kivugiza
RW.02.01.S01.C01,RW.02.01.S01.C01.V009,Rugunga
RW.02.01.S01.C02,RW.02.01.S01.C02.V001,Bidudu
RW.02.01.S01.C02,RW.02.01.S01.C02.V002,Kabuye
RW.02.01.S01.C02,RW.02.01.S01.C02.V003,Karizinge
RW.02.01.S01.C02,RW.02.01.S01.C02.V004,Rwagasiga
RW.02.01.S01.C02,RW.02.01.S01.C02.V005,Rweteto
RW.02.01.S01.C03,RW.02.01.S01.C03.V001,Akagako
RW.02.01.S01.C03,RW.02.01.S01.C03.V002,Kagomasi
RW.02.01.S01.C03,RW.02.01.S01.C03.V003,Kiruhura
RW.02.01.S01.C03,RW.02.01.S01.C03.V004,Kuruganda
RW.02.01.S01.C03,RW.02.01.S01.C03.V005,Runzenze
RW.02.01.S01.C03,RW.02.01.S01.C03.V006,Rushubi
RW.02.01.S01.C04,RW.02.01.S01.C04.V001,Gaharwa
RW.02.01.S01.C04,RW.02.01.S01.C04.V002,Gisenyi
RW.02.01.S01.C04,RW.02.01.S01.C04.V003,Kayovu
RW.02.01.S01.C04,RW.02.01.S01.C04.V004,Ruhanga
RW.02.01.S01.C04,RW.02.01.S01.C04.V005,Ruhanura
RW.02.01.S01.C04,RW.02.01.S01.C04.V006,Rutanga
RW.02.01.S01.C05,RW.02.01.S01.C05.V001,Dihiro
RW.02.01.S01.C05,RW.02.01.S01.C05.V002,KagasaI
RW.02.01.S01.C05,RW.02.01.S01.C05.V003,KagasaIi
